trial_id,sample_name,athlete,action_type,source_file,frames,rate_hz,duration_sec,point_count,valid_point_pct,hip_shoulder_sep_deg,lead_knee_angle_deg,right_elbow_angle_deg,left_elbow_angle_deg,trunk_tilt_deg,hand_speed_kmh,trunk_speed_kmh,hip_speed_kmh,bat_speed_kmh,swing_time_sec,bat_angle_deg
7zai_002_cal_04_pitch_05,7zai,7zai,pitching,vicon_2026/7zai/002 Cal 04 Pitch 05.c3d,2734,100.0,27.34,191,96.53806822751697,34.94809626813864,163.22775901717682,90.41377097711373,68.75475048327212,36.92001974525698,20.53062904609265,14.603372203206922,19.381910101948353,nan,nan,nan
7zai_002_cal_05_bat_04,7zai,7zai,batting,vicon_2026/7zai/002 Cal 05 Bat 04.c3d,1037,100.0,10.37,196,96.46645543463286,25.88586480499886,165.51639851483503,51.013936891867004,80.68873984440506,23.79333565206347,16.535215216120815,13.584647900910106,1.9744369266981128,42.98742153116548,0.63,14.19855940411119
branden_011-branden_bat_03,branden,branden,batting,vicon_2026/branden/011-branden Bat 03.c3d,1296,100.0,12.96,196,95.75302343159487,33.57850799696348,150.62188294211646,77.12375513070239,109.27552430703096,28.347855188291227,15.56969239873946,15.795854164399845,2.802801277450137,62.299952915515846,0.54,31.137212338947258
branden_011-branden_pitch_09,branden,branden,pitching,vicon_2026/branden/011-branden Pitch 09.c3d,1389,100.0,13.89,191,94.5868623703821,30.713288369679997,153.93251885598613,146.47247865369053,84.64025593845159,62.10459244857144,36.96889137641329,8.273815708501742,21.263392189043262,nan,nan,nan
james_010-james_bat_04,james,james,batting,vicon_2026/james/010-james Bat 04.c3d,1382,100.0,13.82,162,88.574886995051,31.748120206081236,144.45131453693767,97.34633438571129,111.56701750027798,33.667577388245974,23.29170303674613,17.04252488136997,17.030759437885887,67.53978899495395,0.35,40.7812752781954
james_010-james_pitch_09,james,james,pitching,vicon_2026/james/010-james Pitch 09.c3d,1622,100.0,16.22,157,97.87554878384003,21.53013280263731,161.546712205394,124.75030195240129,107.16353615022747,45.12579353638939,31.108731877818556,6.352539728093878,18.063799752404453,nan,nan,nan
xuanxuan_005-xuanxuan_bat_04,xuanxuan,xuanxuan,batting,vicon_2026/xuanxuan/005-xuanxuan Bat 04.c3d,2301,100.0,23.01,181,82.15140666681073,15.100446313774398,141.1770857591275,82.01517783129034,135.92964151110212,22.34707006520308,15.344539057269088,2.8573782607756217,6.76272217874224,53.876500915668245,0.45,33.66658783495424
xuanxuan_005-xuanxuan_pitch_15,xuanxuan,xuanxuan,pitching,vicon_2026/xuanxuan/005-xuanxuan Pitch 15.c3d,1795,100.0,17.95,191,97.00360221091164,34.44984242076638,162.99877617486462,96.44367659344606,89.40521464149106,43.87899523998536,26.0037889474557,7.1174630011702815,7.207350558091593,nan,nan,nan
youyou_009-youyou_bat_04,youyou,youyou,batting,vicon_2026/youyou/009-youyou Bat 04.c3d,1751,100.0,17.51,160,54.07088806396345,55.55021919425994,145.34042235385266,57.75929066272268,108.01253599749121,25.493093123209924,20.8193769071016,2.94249029158288,20.85007069965598,61.348010856929385,0.58,8.476310789339104
youyou_009-youyou_pitch_08,youyou,youyou,pitching,vicon_2026/youyou/009-youyou Pitch 08.c3d,2690,100.0,26.9,125,99.94289962825279,20.595974320352017,166.58357164748952,152.79010267022971,155.1412949554505,36.23676639148914,32.618094350369645,6.5638021723446665,5.7136411024151235,nan,nan,nan
